# German main-verb lemma frequency ranking (top 5000).
# Source: UD German-HDT (Universal Dependencies release of the Hamburg
#   Dependency Treebank), https://github.com/UniversalDependencies/UD_German-HDT
#   License: CC BY-SA 4.0 — this derived list is likewise CC BY-SA 4.0.
# Method: XPOS VV* tokens; PTKVZ separable prefixes re-attached to head lemma;
#   lemmas lowercased and restricted to /^[a-zäöüß]+n$/. See docs/adr/0009.
# Extracted: 2026-07-23 by tools/extract-verb-frequency.mjs.
rank,lemma,freq
119,treffen,434
120,investieren,430
121,verhindern,428
122,glauben,427
123,ausbauen,423
124,funktionieren,419
125,senken,412
126,ausstatten,408
127,spielen,408
128,übertragen,405
129,benötigen,403
130,integrieren,397
131,brauchen,391
132,sinken,387
133,einführen,381
134,abgeben,380
135,vorwerfen,379
136,ergeben,377
137,gelingen,377
138,beschäftigen,376
139,installieren,376
140,auffordern,372
141,eröffnen,372
142,umsetzen,372
143,prüfen,370
144,begründen,368
145,erkennen,368
146,kommentieren,367
147,bedeuten,366
148,vorliegen,366
149,fehlen,364
150,vorlegen,364
151,denken,363
152,erwerben,363
153,hinweisen,363
154,verbinden,363
155,lesen,362
156,informieren,360
157,kritisieren,360
158,verbessern,358
159,ausschließen,352
160,legen,352
161,bereitstellen,348
162,durchführen,348
163,sichern,348
164,erweitern,346
165,schützen,345
166,einrichten,342
167,zählen,341
168,stecken,337
169,verweisen,337
170,geraten,336
171,warten,334
172,ausgeben,333
173,profitieren,331
174,helfen,329
175,aussehen,328
176,befürchten,327
177,vertreten,327
178,konzentrieren,325
179,feststellen,324
180,drohen,323
181,ausfallen,322
182,einräumen,320
183,zusammenarbeiten,319
184,anschließen,314
185,verbuchen,311
186,ablehnen,305
187,speichern,303
188,bereitstehen,300
189,einreichen,300
190,verdienen,300
191,tragen,299
192,fördern,293
193,bauen,292
194,registrieren,292
195,surfen,292
196,anmelden,291
197,auftreten,291
198,beziehen,280
199,öffnen,279
200,überprüfen,279
201,verstehen,276
202,verbreiten,275
203,verbieten,274
204,durchsetzen,273
205,reduzieren,273
206,scheitern,272
207,verzichten,270
208,empfehlen,269
209,verschieben,266
210,stammen,265
211,verkünden,263
212,ermitteln,262
213,festlegen,261
214,feststehen,261
215,interessieren,260
216,vergeben,259
217,basieren,256
218,entdecken,256
219,zulegen,255
220,einbauen,254
221,verzeichnen,254
222,entfernen,253
223,erfüllen,252
224,fragen,252
225,auftauchen,251
226,beitragen,251
227,zurückweisen,247
228,richten,246
229,erfahren,245
230,behaupten,244
231,annehmen,243
232,entlassen,243
233,leisten,243
234,verdoppeln,243
235,wählen,243
236,einigen,242
237,ersetzen,241
238,ausführen,240
239,freuen,240
240,zurückführen,239
241,ansehen,235
242,treten,235
243,verpflichten,235
244,zurückziehen,235
245,eingehen,234
246,stoßen,234
247,verabschieden,234
248,vorgehen,234
249,zurückgehen,234
250,produzieren,233
251,verändern,233
252,schicken,232
253,eignen,230
254,zwingen,229
255,aussprechen,228
256,aufrufen,224
257,bewegen,224
258,erstellen,224
259,beschränken,223
260,beschreiben,223
261,schlagen,221
262,dauern,220
263,vertreiben,220
264,testen,219
265,untersuchen,219
266,bestellen,216
267,bilden,216
268,verhandeln,216
269,verklagen,216
270,aufgeben,215
271,verfolgen,215
272,verlassen,215
273,vorbereiten,213
274,beschließen,212
275,trennen,212
276,zulassen,212
277,teilnehmen,211
278,umgehen,211
279,vorschlagen,211
280,zustimmen,211
281,kämpfen,210
282,klagen,210
283,versichern,210
284,beheben,209
285,realisieren,209
286,verschicken,209
287,ausmachen,208
288,bedienen,208
289,erheben,208
290,freigeben,208
291,einsteigen,207
292,sitzen,207
293,beantragen,205
294,erläutern,205
295,hinzukommen,204
296,korrigieren,204
297,erzeugen,203
298,stoppen,203
299,überzeugen,202
300,erleichtern,201
301,übertreffen,201
302,zitieren,200
303,umfassen,199
304,beenden,198
305,schätzen,198
306,streichen,198
307,hören,197
308,löschen,196
309,vermuten,196
310,geschehen,195
311,sperren,195
312,zugreifen,195
313,herunterladen,194
314,kennen,193
315,ausreichen,192
316,vermarkten,192
317,diskutieren,191
318,anpassen,190
319,belegen,190
320,abwickeln,188
321,laden,188
322,demonstrieren,187
323,einkaufen,186
324,beherrschen,185
325,unterscheiden,185
326,ergänzen,184
327,betrachten,183
328,fertigen,183
329,gefährden,183
330,verletzen,183
331,werben,183
332,austauschen,182
333,wenden,181
334,sammeln,179
335,anfallen,177
336,verteilen,177
337,begrüßen,176
338,versorgen,176
339,erweisen,175
340,festhalten,175
341,einnehmen,174
342,sicherstellen,174
343,vereinbaren,174
344,aufweisen,173
345,finanzieren,173
346,passen,173
347,enden,172
348,fortsetzen,172
349,leben,171
350,abwarten,170
351,ausweisen,170
352,entfallen,170
353,kontrollieren,170
354,auslösen,169
355,erhoffen,169
356,telefonieren,168
357,berücksichtigen,167
358,aussetzen,166
359,berechnen,166
360,gewährleisten,166
361,wechseln,166
362,belaufen,164
363,greifen,164
364,klären,164
365,lauten,164
366,sparen,164
367,verschaffen,164
368,verstoßen,164
369,zunehmen,164
370,anzeigen,162
371,bitten,162
372,existieren,162
373,hervorgehen,162
374,dementieren,161
375,erwirtschaften,160
376,beklagen,159
377,lösen,159
378,etablieren,156
379,gestalten,156
380,kümmern,156
381,behalten,155
382,senden,153
383,verursachen,153
384,anstreben,152
385,beschleunigen,151
386,holen,150
387,treiben,150
388,bestimmen,149
389,verschwinden,149
390,anführen,148
391,werfen,148
392,drängen,147
393,einbringen,147
394,lernen,147
395,steuern,146
396,beweisen,145
397,weitergehen,145
398,abrufen,144
399,akzeptieren,144
400,beantworten,144
401,vermeiden,144
402,wünschen,144
403,abbauen,142
404,stärken,142
405,fahren,141
406,herausbringen,141
407,leiten,141
408,reichen,141
409,beobachten,140
410,erinnern,140
411,feiern,140
412,vornehmen,140
413,abhängen,139
414,abspielen,139
415,bewerten,139
416,stützen,139
417,blockieren,137
418,untersagen,137
419,verwalten,137
420,gelangen,136
421,teilen,136
422,verlauten,136
423,berufen,135
424,kooperieren,135
425,einschränken,133
426,weitergeben,133
427,herausstellen,132
428,widersprechen,132
429,vergleichen,131
430,unterzeichnen,130
431,auswirken,128
432,erfordern,128
433,einleiten,127
434,organisieren,127
435,fassen,126
436,fühlen,126
437,überwachen,126
438,bewerben,125
439,erteilen,125
440,unterbringen,125
441,verurteilen,125
442,ansteigen,124
443,bemühen,124
444,herausgeben,124
445,kommunizieren,124
446,behindern,123
447,empfangen,123
448,klettern,123
449,landen,123
450,drücken,122
451,fließen,122
452,passieren,122
453,ankommen,121
454,beruhen,121
455,genügen,121
456,vorantreiben,121
457,ansprechen,120
458,beeinflussen,120
459,einlegen,120
460,abschalten,119
461,einbrechen,119
462,lizenzieren,119
463,antreten,118
464,genehmigen,118
465,leiden,118
466,regeln,118
467,fürchten,117
468,prognostizieren,117
469,verlaufen,117
470,auskommen,116
471,stören,114
472,verstärken,114
473,zukommen,114
474,angehen,113
475,erfassen,113
476,erledigen,113
477,ersteigern,113
478,anlegen,112
479,erwägen,111
480,identifizieren,111
481,weiterleiten,111
482,zusammenfassen,111
483,nachdenken,110
484,aufheben,109
485,hinnehmen,109
486,rufen,109
487,zugeben,109
488,angehören,107
489,garantieren,107
490,vermitteln,107
491,überraschen,106
492,unknown,106
493,absetzen,105
494,ausweiten,105
495,auszeichnen,105
496,beziffern,105
497,gegenüberstehen,105
498,stimmen,105
499,argumentieren,104
500,auslegen,104
501,durchsuchen,104
502,einhalten,104
503,eintragen,104
504,gewähren,104
505,schrumpfen,104
506,werten,104
507,hinzufügen,103
508,reden,103
509,analysieren,102
510,besuchen,102
511,verleihen,102
512,vorführen,102
513,abrechnen,101
514,behandeln,101
515,beraten,101
516,umstellen,101
517,zurückgreifen,101
518,binden,100
519,nachweisen,100
520,spekulieren,100
521,ablösen,99
522,ausrichten,99
523,befragen,99
524,kassieren,99
525,knacken,99
526,überschreiten,99
527,aufwarten,98
528,ausrüsten,98
529,beseitigen,98
530,definieren,98
531,übermitteln,98
532,veranlassen,98
533,erschließen,97
534,überlassen,97
535,verlängern,97
536,anweisen,96
537,einschalten,96
538,herrschen,96
539,wirken,96
540,zielen,96
541,missbrauchen,95
542,verringern,95
543,versenden,95
544,versteigern,95
545,ausdehnen,94
546,beinhalten,94
547,einfahren,94
548,einsparen,94
549,kündigen,94
550,notieren,94
551,verteidigen,94
552,bestreiten,93
553,bezweifeln,93
554,erarbeiten,93
555,verarbeiten,93
556,gestatten,92
557,mitbringen,92
558,spezialisieren,91
559,überlegen,91
560,zusammenschließen,91
561,ausnutzen,90
562,eindringen,90
563,kopieren,90
564,schärfen,90
565,unternehmen,90
566,zerstören,90
567,ablaufen,89
568,auswählen,89
569,erleben,89
570,herausfinden,89
571,platzieren,89
572,rechtfertigen,89
573,belasten,88
574,raten,88
575,verbrauchen,88
576,anwenden,87
577,entschließen,87
578,nachgeben,87
579,unterbinden,87
580,ausüben,86
581,bündeln,86
582,orientieren,86
583,aufstellen,85
584,bescheren,85
585,besetzen,85
586,einladen,85
587,einschätzen,85
588,freischalten,85
589,locken,85
590,anfangen,84
591,auswerten,84
592,lohnen,84
593,vereinfachen,84
594,beurteilen,83
595,konfrontieren,83
596,verweigern,83
597,verzögern,83
598,auffallen,82
599,bearbeiten,82
600,füllen,82
601,abdecken,81
602,aufzeichnen,81
603,bereiten,81
604,drehen,81
605,rutschen,81
606,schalten,81
607,übersetzen,81
608,abstürzen,80
609,anerkennen,80
610,aufgehen,80
611,aufkaufen,80
612,verraten,80
613,versehen,80
614,abstimmen,79
615,tauschen,79
616,übergeben,79
617,unterliegen,79
618,zusammenstellen,79
619,decken,78
620,kombinieren,78
621,messen,78
622,überholen,78
623,vergrößern,78
624,voraussetzen,78
625,abschneiden,77
626,aktivieren,77
627,andeuten,77
628,ausstehen,77
629,bekräftigen,77
630,bestücken,77
631,entgegennehmen,77
632,herauskommen,77
633,programmieren,77
634,vermelden,77
635,wehren,77
636,zurücktreten,77
637,gebieten,76
638,aufrüsten,75
639,befassen,75
640,bemerken,75
641,dastehen,75
642,fällen,75
643,fertigstellen,75
644,optimieren,75
645,voraussagen,75
646,aktualisieren,74
647,ansetzen,74
648,bemängeln,74
649,betreuen,74
650,mithalten,74
651,retten,74
652,üben,74
653,veranstalten,74
654,vergessen,74
655,zurückbleiben,74
656,absagen,73
657,bekennen,73
658,genießen,73
659,kursieren,73
660,schaden,73
661,anrufen,72
662,antworten,72
663,anziehen,72
664,beanspruchen,72
665,einbinden,72
666,lahmlegen,72
667,weiterführen,72
668,angreifen,71
669,ausstellen,71
670,dominieren,71
671,erwähnen,71
672,hängen,71
673,weiterentwickeln,71
674,widmen,71
675,ablegen,70
676,absehen,70
677,fungieren,70
678,nachlegen,70
679,signalisieren,70
680,vollziehen,70
681,abzeichnen,69
682,eingeben,69
683,erfreuen,69
684,konkurrieren,69
685,übergehen,69
686,bedauern,68
687,erlangen,68
688,abfragen,67
689,abweisen,67
690,anschauen,67
691,aussteigen,67
692,beabsichtigen,67
693,einwählen,67
694,engagieren,67
695,portieren,67
696,schauen,67
697,schießen,67
698,schlucken,67
699,überleben,67
700,verbergen,67
701,verhelfen,67
702,vernetzen,67
703,abnehmen,66
704,ankurbeln,66
705,auflösen,66
706,auslaufen,66
707,einspielen,66
708,eintreten,66
709,entziehen,66
710,erwirken,66
711,formulieren,66
712,generieren,66
713,rücken,66
714,vorbehalten,66
715,abhören,65
716,abmahnen,65
717,beauftragen,65
718,bevorstehen,65
719,enttäuschen,65
720,erobern,65
721,erschweren,65
722,prophezeien,65
723,stehlen,65
724,streiten,65
725,unterstreichen,65
726,verlegen,65
727,weisen,65
728,wiegen,65
729,vereinen,64
730,anlaufen,63
731,bedrohen,63
732,befördern,63
733,beilegen,63
734,brechen,63
735,umwandeln,63
736,abbrechen,62
737,abhalten,62
738,anstehen,62
739,aufhalten,62
740,aufsetzen,62
741,einbeziehen,62
742,erstatten,62
743,implementieren,62
744,platzen,62
745,vorweisen,62
746,zeichnen,62
747,achten,61
748,ausgleichen,61
749,benennen,61
750,einstufen,61
751,klarstellen,61
752,wegfallen,61
753,aufbringen,60
754,aufführen,60
755,aufteilen,60
756,erzählen,60
757,nachkommen,60
758,spüren,60
759,unterschreiben,60
760,vorkommen,60
761,aufstocken,59
762,ausschöpfen,59
763,beschuldigen,59
764,sterben,59
765,beeinträchtigen,58
766,hervorheben,58
767,klappen,58
768,reservieren,58
769,überarbeiten,58
770,verhalten,58
771,verschlüsseln,58
772,wahrnehmen,58
773,anhalten,57
774,ansiedeln,57
775,bevorzugen,57
776,fusionieren,57
777,gebrauchen,57
778,plädieren,57
779,unterhalten,57
780,verdreifachen,57
781,verschärfen,57
782,zurückhalten,57
783,aufklären,56
784,ausschalten,56
785,erbringen,56
786,klingen,56
787,verbringen,56
788,absacken,55
789,anordnen,55
790,aufholen,55
791,aufkommen,55
792,ausscheiden,55
793,bekämpfen,55
794,bremsen,55
795,hindern,55
796,nachziehen,55
797,verpassen,55
798,verschenken,55
799,verstecken,55
800,wagen,55
801,anhören,54
802,aufspüren,54
803,besorgen,54
804,einsehen,54
805,erholen,54
806,erlassen,54
807,forcieren,54
808,hinterherhinken,54
809,kappen,54
810,mitliefern,54
811,offerieren,54
812,verständigen,54
813,wiederholen,54
814,ausstrahlen,53
815,beschweren,53
816,entgehen,53
817,spezifizieren,53
818,verlorengehen,53
819,zurückgeben,53
820,ähneln,52
821,ausnehmen,52
822,befreien,52
823,boomen,52
824,dokumentieren,52
825,hinterlassen,52
826,koordinieren,52
827,loben,52
828,ordern,52
829,rangieren,52
830,rüsten,52
831,umsteigen,52
832,urteilen,52
833,verdrängen,52
834,weigern,52
835,zurückkehren,52
836,anbringen,51
837,anstrengen,51
838,bewahren,51
839,erwischen,51
840,firmieren,51
841,glänzen,51
842,konzipieren,51
843,nachgehen,51
844,operieren,51
845,transportieren,51
846,vorschreiben,51
847,zusammenbrechen,51
848,anfordern,50
849,beibehalten,50
850,nahelegen,50
851,verlagern,50
852,versetzen,50
853,wiedergeben,50
854,abwenden,49
855,agieren,49
856,ausgliedern,49
857,beachten,49
858,beisteuern,49
859,errichten,49
860,interpretieren,49
861,preisgeben,49
862,überweisen,49
863,verwandeln,49
864,wecken,49
865,begegnen,48
866,beliefern,48
867,daherkommen,48
868,einziehen,48
869,positionieren,48
870,stürzen,48
871,zusammensetzen,48
872,anstellen,47
873,begleiten,47
874,bewältigen,47
875,billigen,47
876,blicken,47
877,ergehen,47
878,ergreifen,47
879,erproben,47
880,festnehmen,47
881,heben,47
882,merken,47
883,pflegen,47
884,prägen,47
885,protestieren,47
886,übersteigen,47
887,zusichern,47
888,anpeilen,46
889,auslagern,46
890,begehen,46
891,begrenzen,46
892,gefallen,46
893,hindeuten,46
894,modifizieren,46
895,spenden,46
896,vergehen,46
897,verschmelzen,46
898,abschaffen,45
899,ansteuern,45
900,ausweichen,45
901,bestrafen,45
902,bewirken,45
903,reißen,45
904,wundern,45
905,zustandekommen,45
906,bergen,44
907,brennen,44
908,buchen,44
909,distanzieren,44
910,einschließen,44
911,verbleiben,44
912,zuordnen,44
913,zusammenführen,44
914,zuschlagen,44
915,anbinden,43
916,ausprobieren,43
917,entrichten,43
918,entschuldigen,43
919,fliegen,43
920,offenstehen,43
921,publizieren,43
922,spülen,43
923,unterbrechen,43
924,vorziehen,43
925,zurechtkommen,43
926,zusammentun,43
927,aufsteigen,42
928,auseinandersetzen,42
929,begnügen,42
930,beruhigen,42
931,eingreifen,42
932,entwerfen,42
933,erfinden,42
934,herankommen,42
935,heranziehen,42
936,mieten,42
937,nachsagen,42
938,zusagen,42
939,ausbreiten,41
940,ausschweigen,41
941,bedenken,41
942,bekunden,41
943,bewundern,41
944,dämpfen,41
945,einfallen,41
946,entpuppen,41
947,ignorieren,41
948,kennzeichnen,41
949,unterwerfen,41
950,ausbleiben,40
951,auslesen,40
952,ausräumen,40
953,begeistern,40
954,beschlagnahmen,40
955,einfügen,40
956,einholen,40
957,hervorrufen,40
958,offenlegen,40
959,unterbreiten,40
960,verknüpfen,40
961,anregen,39
962,einfließen,39
963,erleiden,39
964,konfigurieren,39
965,manipulieren,39
966,nachlesen,39
967,räumen,39
968,spannen,39
969,tätigen,39
970,überwinden,39
971,werkeln,39
972,zusammenlegen,39
973,zuschneiden,39
974,aufwerfen,38
975,ausfüllen,38
976,beteuern,38
977,enthüllen,38
978,entnehmen,38
979,koppeln,38
980,mitwirken,38
981,resultieren,38
982,stopfen,38
983,trauen,38
984,überlasten,38
985,vorausgehen,38
986,abschrecken,37
987,abstoßen,37
988,appellieren,37
989,aufladen,37
990,ausbilden,37
991,befürworten,37
992,bescheinigen,37
993,eingestehen,37
994,entgegenkommen,37
995,häufen,37
996,schieben,37
997,überbrücken,37
998,unterstellen,37
999,vertragen,37
1000,vorhalten,37
1001,wandeln,37
1002,zugehen,37
1003,zurücknehmen,37
1004,anrichten,36
1005,ausarbeiten,36
1006,aussuchen,36
1007,auszahlen,36
1008,beiliegen,36
1009,bereithalten,36
1010,beschädigen,36
1011,beschaffen,36
1012,drucken,36
1013,exportieren,36
1014,feuern,36
1015,kontern,36
1016,umleiten,36
1017,veräußern,36
1018,verhängen,36
1019,zurückfallen,36
1020,abschreiben,35
1021,abspeichern,35
1022,ärgern,35
1023,aufzeigen,35
1024,deaktivieren,35
1025,einloggen,35
1026,erregen,35
1027,erwecken,35
1028,hegen,35
1029,hinausgehen,35
1030,lehren,35
1031,mehren,35
1032,mitmischen,35
1033,offenbaren,35
1034,simulieren,35
1035,veranschlagen,35
1036,abführen,34
1037,anpreisen,34
1038,ausbrechen,34
1039,ausspionieren,34
1040,bedecken,34
1041,berechtigen,34
1042,einbüßen,34
1043,einlassen,34
1044,einreihen,34
1045,einverleiben,34
1046,ersparen,34
1047,fortführen,34
1048,umbenennen,34
1049,verbilligen,34
1050,verkürzen,34
1051,verwundern,34
1052,vorbeugen,34
1053,zusammenhängen,34
1054,abwehren,33
1055,aufdecken,33
1056,auflisten,33
1057,aushandeln,33
1058,begeben,33
1059,entschlüsseln,33
1060,expandieren,33
1061,importieren,33
1062,infizieren,33
1063,mitarbeiten,33
1064,propagieren,33
1065,zurückrufen,33
1066,absichern,32
1067,anheben,32
1068,aufgreifen,32
1069,aufhören,32
1070,ausdrucken,32
1071,ausdrücken,32
1072,basteln,32
1073,durchbrechen,32
1074,eintreffen,32
1075,empfinden,32
1076,mitbieten,32
1077,nachrüsten,32
1078,schädigen,32
1079,träumen,32
1080,umschalten,32
1081,unterrichten,32
1082,unterschätzen,32
1083,verhaften,32
1084,versagen,32
1085,vorgeben,32
1086,vorlesen,32
1087,zurückzahlen,32
1088,abgleichen,31
1089,abstellen,31
1090,anlocken,31
1091,befallen,31
1092,berühren,31
1093,einspeisen,31
1094,halbieren,31
1095,hinterlegen,31
1096,kompensieren,31
1097,mahnen,31
1098,nachfragen,31
1099,nähern,31
1100,niederlegen,31
1101,patentieren,31
1102,regulieren,31
1103,repräsentieren,31
1104,resümieren,31
1105,studieren,31
1106,takten,31
1107,verbannen,31
1108,zurückschrauben,31
1109,zutrauen,31
1110,zutreffen,31
1111,abheben,30
1112,anwachsen,30
1113,beibringen,30
1114,beitreten,30
1115,filtern,30
1116,gewöhnen,30
1117,hinauslaufen,30
1118,hosten,30
1119,mitmachen,30
1120,packen,30
1121,summieren,30
1122,verdeutlichen,30
1123,verfehlen,30
1124,vermieten,30
1125,vertrauen,30
1126,absegnen,29
1127,anklicken,29
1128,ansagen,29
1129,beeilen,29
1130,besiegeln,29
1131,booten,29
1132,entgegensehen,29
1133,klicken,29
1134,kürzen,29
1135,langen,29
1136,listen,29
1137,tummeln,29
1138,übereinstimmen,29
1139,unterziehen,29
1140,verwirklichen,29
1141,ausrufen,28
1142,befriedigen,28
1143,begreifen,28
1144,betreten,28
1145,einhandeln,28
1146,einläuten,28
1147,einstecken,28
1148,errechnen,28
1149,festschreiben,28
1150,festsetzen,28
1151,lenken,28
1152,reklamieren,28
1153,revolutionieren,28
1154,spendieren,28
1155,überspringen,28
1156,vervierfachen,28
1157,androhen,27
1158,attackieren,27
1159,auflegen,27
1160,begleichen,27
1161,besprechen,27
1162,bewähren,27
1163,einblenden,27
1164,entgegenwirken,27
1165,funken,27
1166,klauen,27
1167,schenken,27
1168,überziehen,27
1169,umtauschen,27
1170,unterbieten,27
1171,unterdrücken,27
1172,verdanken,27
1173,vorinstallieren,27
1174,zusammenbringen,27
1175,aufwenden,26
1176,beleuchten,26
1177,ebnen,26
1178,entgegentreten,26
1179,erzwingen,26
1180,forschen,26
1181,fressen,26
1182,mitnehmen,26
1183,naheliegen,26
1184,prophezeihen,26
1185,verkraften,26
1186,würdigen,26
1187,zusammenkommen,26
1188,zustellen,26
1189,abholen,25
1190,auftrumpfen,25
1191,ausrechnen,25
1192,beeindrucken,25
1193,beflügeln,25
1194,benachteiligen,25
1195,chatten,25
1196,dringen,25
1197,ernennen,25
1198,explodieren,25
1199,gleichen,25
1200,hacken,25
1201,herausfiltern,25
1202,lagern,25
1203,lockern,25
1204,nachvollziehen,25
1205,relativieren,25
1206,rühren,25
1207,spiegeln,25
1208,stattgeben,25
1209,umbauen,25
1210,verkleinern,25
1211,vorankommen,25
1212,vordringen,25
1213,vorhersagen,25
1214,vorschieben,25
1215,winken,25
1216,wohnen,25
1217,zerschlagen,25
1218,zertifizieren,25
1219,zusprechen,25
1220,ableiten,24
1221,abweichen,24
1222,aussagen,24
1223,ausschreiben,24
1224,austragen,24
1225,belauschen,24
1226,bereitliegen,24
1227,besagen,24
1228,darlegen,24
1229,einpendeln,24
1230,entlasten,24
1231,erneuern,24
1232,favorisieren,24
1233,gedenken,24
1234,knüpfen,24
1235,ruhen,24
1236,scheuen,24
1237,stabilisieren,24
1238,taufen,24
1239,überschätzen,24
1240,übersehen,24
1241,verbauen,24
1242,verdauen,24
1243,vermindern,24
1244,vernachlässigen,24
1245,versäumen,24
1246,vertagen,24
1247,vorangehen,24
1248,zurückfahren,24
1249,zuwenden,24
1250,abbekommen,23
1251,abfangen,23
1252,abschwächen,23
1253,abwerben,23
1254,anfertigen,23
1255,anschaffen,23
1256,argwöhnen,23
1257,aufbereiten,23
1258,aufpassen,23
1259,aufwerten,23
1260,ausverkaufen,23
1261,bestehenbleiben,23
1262,einbuchen,23
1263,einplanen,23
1264,erblicken,23
1265,erforschen,23
1266,hinziehen,23
1267,konstatieren,23
1268,lizensieren,23
1269,nominieren,23
1270,revidieren,23
1271,schwärmen,23
1272,schweigen,23
1273,töten,23
1274,verlinken,23
1275,verschlafen,23
1276,verschweigen,23
1277,verunsichern,23
1278,verwerfen,23
1279,zweifeln,23
1280,abgraben,22
1281,abschätzen,22
1282,absolvieren,22
1283,abzielen,22
1284,anwählen,22
1285,aufbewahren,22
1286,auffangen,22
1287,aufrechterhalten,22
1288,aufschließen,22
1289,aufspielen,22
1290,ausspähen,22
1291,beanstanden,22
1292,beherbergen,22
1293,eintreiben,22
1294,erstrecken,22
1295,gedulden,22
1296,initiieren,22
1297,losgehen,22
1298,lüften,22
1299,malen,22
1300,markieren,22
1301,mitreden,22
1302,monieren,22
1303,motivieren,22
1304,riskieren,22
1305,rollen,22
1306,synchronisieren,22
1307,überfordern,22
1308,überzeichnen,22
1309,umsehen,22
1310,verdichten,22
1311,verfallen,22
1312,verfassen,22
1313,verpacken,22
1314,verschlechtern,22
1315,voraussehen,22
1316,vorstoßen,22
1317,zurückgewinnen,22
1318,zurückschicken,22
1319,zuteilen,22
1320,abbilden,21
1321,ablenken,21
1322,abrunden,21
1323,abwerfen,21
1324,ahnden,21
1325,anheizen,21
1326,auferlegen,21
1327,aufspalten,21
1328,bangen,21
1329,beglücken,21
1330,belangen,21
1331,durchlaufen,21
1332,eingliedern,21
1333,ergattern,21
1334,erörtern,21
1335,gebären,21
1336,gedeihen,21
1337,kippen,21
1338,konkretisieren,21
1339,lieben,21
1340,mangeln,21
1341,neigen,21
1342,schildern,21
1343,schlafen,21
1344,schüren,21
1345,stagnieren,21
1346,überdenken,21
1347,überschreiben,21
1348,überstehen,21
1349,vernichten,21
1350,verrichten,21
1351,verteuern,21
1352,weiterhelfen,21
1353,zerlegen,21
1354,zufügen,21
1355,zugutekommen,21
1356,zurückschlagen,21
1357,zustehen,21
1358,zuvorkommen,21
1359,ablesen,20
1360,abreißen,20
1361,abtreten,20
1362,antreiben,20
1363,aufspringen,20
1364,ausdenken,20
1365,ausfiltern,20
1366,aushebeln,20
1367,auskennen,20
1368,ausloben,20
1369,ausschütten,20
1370,begünstigen,20
1371,belohnen,20
1372,bereichern,20
1373,blasen,20
1374,digitalisieren,20
1375,durchsickern,20
1376,einbetten,20
1377,entbehren,20
1378,entlarven,20
1379,formieren,20
1380,füttern,20
1381,honorieren,20
1382,komprimieren,20
1383,mutieren,20
1384,qualifizieren,20
1385,schmieden,20
1386,unterlaufen,20
1387,verärgern,20
1388,vermissen,20
1389,vormachen,20
1390,wahren,20
1391,widerspiegeln,20
1392,zuschreiben,20
1393,zuweisen,20
1394,abschießen,19
1395,animieren,19
1396,anklagen,19
